url	gids	local_count	count
vk.com/id44040649	Разработка_PCB	6	1
vk.com/id175913744	Arduino_	3	1
vk.com/id97022460	Свободные_САПР	13	1
vk.com/id70160641	Arduino_	3	1
vk.com/id362097	Neuron_Hackspace	3	1
vk.com/id235025193	ЦМИТы_и_фаблабы_России, Занимательная_робототехника	10	2
vk.com/id216535303	Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino	4	3
vk.com/id1754657	ЦМИТы_и_фаблабы_России	7	1
vk.com/id24311839	Фестиваль_Rukami, Технарю_с_AliExpress	3	2
vk.com/id1219741	ЦМИТы_и_фаблабы_России, Занимательная_робототехника	5	2
vk.com/id5289763	Радиоэлектроника	3	1
vk.com/id70738776	Пермский_makerspace, ЦМИТы_и_фаблабы_России	14	2
vk.com/id14519789	Arduino_1	40	1
vk.com/id22712541	Arduino_	5	1
vk.com/id11721299	Все_об_Ардуино	3	1
vk.com/id51346935	LabRazum, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника	4	5
vk.com/id164839504	Робототехника_микроконтроллеры_AVR_Arduino	3	1
vk.com/id367830215	Технарю_с_AliExpress	5	1
vk.com/id77403604	Arduino_	4	1
vk.com/id175089950	Neuron_Hackspace	3	1
vk.com/id176483937	Arduino_2	3	1
vk.com/id23961708	Занимательная_робототехника	6	1
vk.com/id94718287	Занимательная_робототехника	14	1
vk.com/id260499841	ChipEnable	14	1
vk.com/id186583719	Arduino_	6	1
vk.com/id89532018	Занимательная_робототехника	4	1
vk.com/id55647658	ЦМИТы_и_фаблабы_России	3	1
vk.com/id5586693	Робототехника_микроконтроллеры_AVR_Arduino	3	1
vk.com/id533624	Занимательная_робототехника	4	1
vk.com/id162463675	Arduino_, Робототехника_микроконтроллеры_AVR_Arduino	3	2
vk.com/id181071829	Технарю_с_AliExpress	6	1
vk.com/id331916988	Робототехника_микроконтроллеры_AVR_Arduino	3	1
vk.com/id73322945	Радиоэлектроника	3	1
vk.com/id1693354	Робототехника_микроконтроллеры_AVR_Arduino	6	1
vk.com/id378692608	Neuron_Hackspace	4	1
